glyph_name,sort_final,sort_design,usv
uniA2B2,1024,1024,A2B2
uniA2B3,1025,11025,A2B3
uniA2B4,1026,1026,A2B4
uniA2B5,1027,1027,A2B5
uniA2B6,1028,1028,A2B6
uniA2B7,1029,11029,A2B7
uniA2B8,1030,1030,A2B8
uniA2B9,1031,1031,A2B9
uniA2BA,1032,11032,A2BA
uniA2BB,1033,1033,A2BB
uniA2BC,1034,1034,A2BC
uniA2BD,1035,1035,A2BD
uniA2BE,1036,11036,A2BE
uniA2BF,1037,1037,A2BF
uniA2C0,1038,1038,A2C0
uniA2C1,1039,11039,A2C1
uniA2C2,1040,1040,A2C2
uniA2C3,1041,1041,A2C3
uniA2C4,1042,1042,A2C4
uniA2C5,1043,11043,A2C5
uniA2C6,1044,1044,A2C6
uniA2C7,1045,1045,A2C7
uniA2C8,1046,11046,A2C8
uniA2C9,1047,1047,A2C9
uniA2CA,1048,1048,A2CA
uniA2CB,1049,11049,A2CB
uniA2CC,1050,1050,A2CC
uniA2CD,1051,1051,A2CD
uniA2CE,1052,11052,A2CE
uniA2CF,1053,1053,A2CF
uniA2D0,1054,1054,A2D0
uniA2D1,1055,11055,A2D1
uniA2D2,1056,1056,A2D2
uniA2D3,1057,1057,A2D3
uniA2D4,1058,1058,A2D4
uniA2D5,1059,11059,A2D5
uniA2D6,1060,1060,A2D6
uniA2D7,1061,1061,A2D7
uniA2D8,1062,1062,A2D8
uniA2D9,1063,11063,A2D9
uniA2DA,1064,1064,A2DA
uniA2DB,1065,1065,A2DB
uniA2DC,1066,11066,A2DC
uniA2DD,1067,1067,A2DD
uniA2DE,1068,1068,A2DE
uniA2DF,1069,11069,A2DF
uniA2E0,1070,1070,A2E0
uniA2E1,1071,1071,A2E1
uniA2E2,1072,11072,A2E2
uniA2E3,1073,1073,A2E3
uniA2E4,1074,1074,A2E4
uniA2E5,1075,11075,A2E5
uniA2E6,1076,1076,A2E6
uniA2E7,1077,1077,A2E7
uniA2E8,1078,11078,A2E8
uniA2E9,1079,1079,A2E9
uniA2EA,1080,1080,A2EA
uniA2EB,1081,11081,A2EB
uniA2EC,1082,1082,A2EC
uniA2ED,1083,1083,A2ED
uniA2EE,1084,11084,A2EE
uniA2EF,1085,1085,A2EF
uniA2F0,1086,1086,A2F0
uniA2F1,1087,11087,A2F1
uniA2F2,1088,1088,A2F2
uniA2F3,1089,1089,A2F3
uniA2F4,1090,1090,A2F4
uniA2F5,1091,11091,A2F5
uniA2F6,1092,1092,A2F6
uniA2F7,1093,1093,A2F7
uniA2F8,1094,11094,A2F8
uniA2F9,1095,1095,A2F9
uniA2FA,1096,11096,A2FA
uniA2FB,1097,1097,A2FB
uniA2FC,1098,11098,A2FC
uniA2FD,1099,1099,A2FD
uniA2FE,1100,11100,A2FE
uniA2FF,1101,1101,A2FF
uniA300,1102,1102,A300
uniA301,1103,11103,A301
uniA302,1104,1104,A302
uniA303,1105,1105,A303
uniA304,1106,11106,A304
uniA305,1107,1107,A305
uniA306,1108,1108,A306
uniA307,1109,11109,A307
uniA308,1110,1110,A308
uniA309,1111,1111,A309
uniA30A,1112,11112,A30A
uniA30B,1113,1113,A30B
uniA30C,1114,1114,A30C
uniA30D,1115,11115,A30D
uniA30E,1116,1116,A30E
uniA30F,1117,1117,A30F
uniA310,1118,1118,A310
uniA311,1119,11119,A311
uniA312,1120,1120,A312
uniA313,1121,1121,A313
uniA314,1122,11122,A314
uniA315,1123,1123,A315
uniA316,1124,1124,A316
uniA317,1125,1125,A317
uniA318,1126,11126,A318
uniA319,1127,1127,A319
uniA31A,1128,1128,A31A
uniA31B,1129,11129,A31B
uniA31C,1130,1130,A31C
uniA31D,1131,1131,A31D
uniA31E,1132,1132,A31E
uniA31F,1133,11133,A31F
uniA320,1134,1134,A320
uniA321,1135,1135,A321
uniA322,1136,11136,A322
uniA323,1137,1137,A323
uniA324,1138,1138,A324
uniA325,1139,11139,A325
uniA326,1140,1140,A326
uniA327,1141,1141,A327
uniA328,1142,11142,A328
uniA329,1143,1143,A329
uniA32A,1144,1144,A32A
uniA32B,1145,11145,A32B
uniA32C,1146,1146,A32C
uniA32D,1147,1147,A32D
uniA32E,1148,11148,A32E
uniA32F,1149,1149,A32F
uniA330,1150,1150,A330
uniA331,1151,1151,A331
uniA332,1152,11152,A332
uniA333,1153,1153,A333
uniA334,1154,1154,A334
uniA335,1155,1155,A335
uniA336,1156,11156,A336
uniA337,1157,1157,A337
uniA338,1158,1158,A338
uniA339,1159,11159,A339
uniA33A,1160,1160,A33A
uniA33B,1161,1161,A33B
uniA33C,1162,1162,A33C
uniA33D,1163,11163,A33D
uniA33E,1164,1164,A33E
uniA33F,1165,1165,A33F
uniA340,1166,1166,A340
uniA341,1167,11167,A341
uniA342,1168,1168,A342
uniA343,1169,1169,A343
uniA344,1170,11170,A344
uniA345,1171,1171,A345
uniA346,1172,1172,A346
uniA347,1173,11173,A347
uniA348,1174,1174,A348
uniA349,1175,1175,A349
uniA34A,1176,11176,A34A
uniA34B,1177,1177,A34B
uniA34C,1178,1178,A34C
uniA34D,1179,1179,A34D
uniA34E,1180,11180,A34E
uniA34F,1181,1181,A34F
uniA350,1182,1182,A350
uniA351,1183,1183,A351
uniA352,1184,11184,A352
uniA353,1185,1185,A353
uniA354,1186,1186,A354
uniA355,1187,1187,A355
uniA356,1188,11188,A356
uniA357,1189,1189,A357
uniA358,1190,1190,A358
uniA359,1191,11191,A359
uniA35A,1192,1192,A35A
uniA35B,1193,1193,A35B
uniA35C,1194,11194,A35C
uniA35D,1195,1195,A35D
uniA35E,1196,1196,A35E
uniA35F,1197,11197,A35F
uniA360,1198,1198,A360
uniA361,1199,1199,A361
uniA362,1200,11200,A362
uniA363,1201,1201,A363
uniA364,1202,1202,A364
uniA365,1203,1203,A365
uniA366,1204,11204,A366
uniA367,1205,1205,A367
uniA368,1206,1206,A368
uniA369,1207,1207,A369
uniA36A,1208,11208,A36A
uniA36B,1209,1209,A36B
uniA36C,1210,1210,A36C
uniA36D,1211,1211,A36D
uniA36E,1212,11212,A36E
uniA36F,1213,1213,A36F
uniA370,1214,1214,A370
uniA371,1215,11215,A371
uniA372,1216,1216,A372
uniA373,1217,1217,A373
uniA374,1218,11218,A374
uniA375,1219,1219,A375
uniA376,1220,1220,A376
uniA377,1221,11221,A377
uniA378,1222,1222,A378
uniA379,1223,1223,A379
uniA37A,1224,11224,A37A
uniA37B,1225,1225,A37B
uniA37C,1226,11226,A37C
uniA37D,1227,1227,A37D
uniA37E,1228,11228,A37E
uniA37F,1229,1229,A37F
uniA380,1230,1230,A380
uniA381,1231,11231,A381
uniA382,1232,1232,A382
uniA383,1233,1233,A383
uniA384,1234,1234,A384
uniA385,1235,11235,A385
uniA386,1236,1236,A386
uniA387,1237,1237,A387
uniA388,1238,1238,A388
uniA389,1239,11239,A389
uniA38A,1240,1240,A38A
uniA38B,1241,1241,A38B
uniA38C,1242,11242,A38C
uniA38D,1243,1243,A38D
uniA38E,1244,1244,A38E
uniA38F,1245,11245,A38F
uniA390,1246,1246,A390
uniA391,1247,1247,A391
uniA392,1248,11248,A392
uniA393,1249,1249,A393
uniA394,1250,1250,A394
uniA395,1251,11251,A395
uniA396,1252,1252,A396
uniA397,1253,1253,A397
uniA398,1254,11254,A398
uniA399,1255,1255,A399
uniA39A,1256,1256,A39A
uniA39B,1257,1257,A39B
uniA39C,1258,11258,A39C
uniA39D,1259,1259,A39D
uniA39E,1260,1260,A39E
uniA39F,1261,1261,A39F
uniA3A0,1262,11262,A3A0
uniA3A1,1263,1263,A3A1
uniA3A2,1264,1264,A3A2
uniA3A3,1265,11265,A3A3
uniA3A4,1266,1266,A3A4
uniA3A5,1267,1267,A3A5
uniA3A6,1268,11268,A3A6
uniA3A7,1269,1269,A3A7
uniA3A8,1270,1270,A3A8
uniA3A9,1271,11271,A3A9
uniA3AA,1272,1272,A3AA
uniA3AB,1273,1273,A3AB
uniA3AC,1274,11274,A3AC
uniA3AD,1275,1275,A3AD
uniA3AE,1276,1276,A3AE
uniA3AF,1277,11277,A3AF
uniA3B0,1278,1278,A3B0
uniA3B1,1279,1279,A3B1
uniA3B2,1280,1280,A3B2
uniA3B3,1281,11281,A3B3
uniA3B4,1282,1282,A3B4
uniA3B5,1283,1283,A3B5
uniA3B6,1284,1284,A3B6
uniA3B7,1285,11285,A3B7
uniA3B8,1286,1286,A3B8
uniA3B9,1287,1287,A3B9
uniA3BA,1288,1288,A3BA
uniA3BB,1289,11289,A3BB
uniA3BC,1290,1290,A3BC
uniA3BD,1291,1291,A3BD
uniA3BE,1292,11292,A3BE
uniA3BF,1293,1293,A3BF
uniA3C0,1294,1294,A3C0
uniA3C1,1295,11295,A3C1
uniA3C2,1296,1296,A3C2
uniA3C3,1297,1297,A3C3
uniA3C4,1298,11298,A3C4
uniA3C5,1299,1299,A3C5
uniA3C6,1300,1300,A3C6
uniA3C7,1301,11301,A3C7
uniA3C8,1302,1302,A3C8
uniA3C9,1303,1303,A3C9
uniA3CA,1304,11304,A3CA
uniA3CB,1305,1305,A3CB
uniA3CC,1306,1306,A3CC
uniA3CD,1307,1307,A3CD
uniA3CE,1308,11308,A3CE
uniA3CF,1309,1309,A3CF
uniA3D0,1310,1310,A3D0
uniA3D1,1311,11311,A3D1
uniA3D2,1312,1312,A3D2
uniA3D3,1313,1313,A3D3
uniA3D4,1314,1314,A3D4
uniA3D5,1315,11315,A3D5
uniA3D6,1316,1316,A3D6
uniA3D7,1317,1317,A3D7
uniA3D8,1318,11318,A3D8
uniA3D9,1319,1319,A3D9
uniA3DA,1320,1320,A3DA
uniA3DB,1321,11321,A3DB
uniA3DC,1322,1322,A3DC
uniA3DD,1323,1323,A3DD
uniA3DE,1324,11324,A3DE
uniA3DF,1325,1325,A3DF
uniA3E0,1326,1326,A3E0
uniA3E1,1327,11327,A3E1
uniA3E2,1328,1328,A3E2
uniA3E3,1329,1329,A3E3
uniA3E4,1330,1330,A3E4
uniA3E5,1331,11331,A3E5
uniA3E6,1332,1332,A3E6
uniA3E7,1333,1333,A3E7
uniA3E8,1334,1334,A3E8
uniA3E9,1335,11335,A3E9
uniA3EA,1336,1336,A3EA
uniA3EB,1337,1337,A3EB
uniA3EC,1338,1338,A3EC
uniA3ED,1339,11339,A3ED
uniA3EE,1340,1340,A3EE
uniA3EF,1341,1341,A3EF
uniA3F0,1342,1342,A3F0
uniA3F1,1343,11343,A3F1
uniA3F2,1344,1344,A3F2
uniA3F3,1345,1345,A3F3
uniA3F4,1346,11346,A3F4
uniA3F5,1347,1347,A3F5
uniA3F6,1348,1348,A3F6
uniA3F7,1349,11349,A3F7
uniA3F8,1350,1350,A3F8
uniA3F9,1351,1351,A3F9
uniA3FA,1352,11352,A3FA
uniA3FB,1353,1353,A3FB
uniA3FC,1354,1354,A3FC
uniA3FD,1355,11355,A3FD
uniA3FE,1356,1356,A3FE
uniA3FF,1357,1357,A3FF
uniA400,1358,1358,A400
uniA401,1359,11359,A401
uniA402,1360,1360,A402
uniA403,1361,1361,A403
uniA404,1362,1362,A404
uniA405,1363,11363,A405
uniA406,1364,1364,A406
uniA407,1365,1365,A407
uniA408,1366,1366,A408
uniA409,1367,11367,A409
uniA40A,1368,1368,A40A
uniA40B,1369,1369,A40B
uniA40C,1370,1370,A40C
uniA40D,1371,11371,A40D
uniA40E,1372,1372,A40E
uniA40F,1373,1373,A40F
uniA410,1374,11374,A410
uniA411,1375,1375,A411
uniA412,1376,1376,A412
uniA413,1377,11377,A413
uniA414,1378,1378,A414
uniA415,1379,1379,A415
uniA416,1380,11380,A416
uniA417,1381,1381,A417
uniA418,1382,1382,A418
uniA419,1383,11383,A419
uniA41A,1384,1384,A41A
uniA41B,1385,1385,A41B
uniA41C,1386,1386,A41C
uniA41D,1387,11387,A41D
uniA41E,1388,1388,A41E
uniA41F,1389,1389,A41F
uniA420,1390,11390,A420
uniA421,1391,1391,A421
uniA422,1392,1392,A422
uniA423,1393,1393,A423
uniA424,1394,11394,A424
uniA425,1395,1395,A425
uniA426,1396,1396,A426
uniA427,1397,1397,A427
uniA428,1398,11398,A428
uniA429,1399,1399,A429
uniA42A,1400,1400,A42A
uniA42B,1401,11401,A42B
uniA42C,1402,1402,A42C
uniA42D,1403,1403,A42D
uniA42E,1404,11404,A42E
uniA42F,1405,1405,A42F
uniA430,1406,1406,A430
uniA431,1407,1407,A431
uniA432,1408,11408,A432
uniA433,1409,1409,A433
uniA434,1410,1410,A434
uniA435,1411,1411,A435
uniA436,1412,11412,A436
uniA437,1413,1413,A437
uniA438,1414,1414,A438
uniA439,1415,11415,A439
uniA43A,1416,1416,A43A
uniA43B,1417,1417,A43B
uniA43C,1418,11418,A43C
uniA43D,1419,1419,A43D
uniA43E,1420,1420,A43E
uniA43F,1421,11421,A43F
uniA440,1422,1422,A440
uniA441,1423,1423,A441
uniA442,1424,11424,A442
uniA443,1425,1425,A443
uniA444,1426,1426,A444
uniA445,1427,11427,A445
uniA446,1428,1428,A446
uniA447,1429,1429,A447
uniA448,1430,11430,A448
uniA449,1431,1431,A449
uniA44A,1432,1432,A44A
uniA44B,1433,11433,A44B
uniA44C,1434,1434,A44C
uniA44D,1435,1435,A44D
uniA44E,1436,1436,A44E
uniA44F,1437,11437,A44F
uniA450,1438,1438,A450
uniA451,1439,1439,A451
uniA452,1440,11440,A452
uniA453,1441,1441,A453
uniA454,1442,1442,A454
uniA455,1443,1443,A455
uniA456,1444,11444,A456
uniA457,1445,1445,A457
uniA458,1446,1446,A458
uniA459,1447,1447,A459
uniA45A,1448,11448,A45A
uniA45B,1449,1449,A45B
uniA45C,1450,1450,A45C
uniA45D,1451,1451,A45D
uniA45E,1452,11452,A45E
uniA45F,1453,1453,A45F
uniA460,1454,1454,A460
uniA461,1455,1455,A461
uniA462,1456,11456,A462
uniA463,1457,1457,A463
uniA464,1458,1458,A464
uniA465,1459,11459,A465
uniA466,1460,1460,A466
uniA467,1461,1461,A467
uniA468,1462,11462,A468
uniA469,1463,1463,A469
uniA46A,1464,1464,A46A
uniA46B,1465,1465,A46B
uniA46C,1466,11466,A46C
uniA46D,1467,1467,A46D
uniA46E,1468,1468,A46E
uniA46F,1469,11469,A46F
uniA470,1470,1470,A470
uniA471,1471,1471,A471
uniA472,1472,11472,A472
uniA473,1473,1473,A473
uniA474,1474,1474,A474
uniA475,1475,1475,A475
uniA476,1476,11476,A476
uniA477,1477,1477,A477
uniA478,1478,1478,A478
uniA479,1479,1479,A479
uniA47A,1480,11480,A47A
uniA47B,1481,1481,A47B
uniA47C,1482,1482,A47C
uniA47D,1483,1483,A47D
uniA47E,1484,11484,A47E
uniA47F,1485,1485,A47F
uniA480,1486,1486,A480
uniA481,1487,1487,A481
uniA482,1488,11488,A482
uniA483,1489,1489,A483
uniA484,1490,1490,A484
uniA485,1491,11491,A485
uniA486,1492,1492,A486
uniA487,1493,1493,A487
uniA488,1494,11494,A488
uniA489,1495,1495,A489
uniA48A,1496,1496,A48A
uniA48B,1497,11497,A48B
uniA48C,1498,1498,A48C
uniA490,1499,1499,A490
uniA491,1500,1500,A491
uniA492,1501,1501,A492
uniA493,1502,1502,A493
uniA494,1503,1503,A494
uniA495,1504,1504,A495
uniA496,1505,1505,A496
uniA497,1506,1506,A497
uniA498,1507,1507,A498
uniA499,1508,1508,A499
uniA49A,1509,1509,A49A
uniA49B,1510,1510,A49B
uniA49C,1511,1511,A49C
uniA49D,1512,1512,A49D
uniA49E,1513,1513,A49E
uniA49F,1514,1514,A49F
uniA4A0,1515,1515,A4A0
uniA4A1,1516,1516,A4A1
uniA4A2,1517,1517,A4A2
uniA4A3,1518,1518,A4A3
uniA4A4,1519,1519,A4A4
uniA4A5,1520,1520,A4A5
uniA4A6,1521,1521,A4A6
uniA4A7,1522,1522,A4A7
uniA4A8,1523,1523,A4A8
uniA4A9,1524,1524,A4A9
uniA4AA,1525,1525,A4AA
uniA4AB,1526,1526,A4AB
uniA4AC,1527,1527,A4AC
uniA4AD,1528,1528,A4AD
uniA4AE,1529,1529,A4AE
uniA4AF,1530,1530,A4AF
uniA4B0,1531,1531,A4B0
uniA4B1,1532,1532,A4B1
uniA4B2,1533,1533,A4B2
uniA4B3,1534,1534,A4B3
uniA4B4,1535,1535,A4B4
uniA4B5,1536,1536,A4B5
uniA4B6,1537,1537,A4B6
uniA4B7,1538,1538,A4B7
uniA4B8,1539,1539,A4B8
uniA4B9,1540,1540,A4B9
uniA4BA,1541,1541,A4BA
uniA4BB,1542,1542,A4BB
uniA4BC,1543,1543,A4BC
uniA4BD,1544,1544,A4BD
uniA4BE,1545,1545,A4BE
uniA4BF,1546,1546,A4BF
uniA4C0,1547,1547,A4C0
uniA4C1,1548,1548,A4C1
uniA4C2,1549,1549,A4C2
uniA4C3,1550,1550,A4C3
uniA4C4,1551,1551,A4C4
uniA4C5,1552,1552,A4C5
uniA4C6,1553,1553,A4C6
uniF130,1554,31554,F130
uniF131,1555,31555,F131
uniFB01,1556,31556,FB01
uniFB02,1557,31557,FB02
uniFE00,1558,31558,FE00
uniFE01,1559,31559,FE01
uniFE02,1560,31560,FE02
uniFE03,1561,31561,FE03
uniFE04,1562,31562,FE04
uniFE05,1563,31563,FE05
uniFE06,1564,31564,FE06
uniFE07,1565,31565,FE07
uniFE08,1566,31566,FE08
uniFE09,1567,31567,FE09
uniFE0A,1568,31568,FE0A
uniFE0B,1569,31569,FE0B
uniFE0C,1570,31570,FE0C
uniFE0D,1571,31571,FE0D
uniFE0E,1572,31572,FE0E
uniFE0F,1573,31573,FE0F
uniFEFF,1574,31574,FEFF
uniFF01,1575,31575,FF01
uniFF02,1576,31576,FF02
uniFF08,1577,31577,FF08
uniFF09,1578,31578,FF09
uniFF0C,1579,31579,FF0C
uniFF0D,1580,31580,FF0D
uniFF0E,1581,31581,FF0E
uniFF0F,1582,31582,FF0F
uniFF1A,1583,31583,FF1A
uniFF1B,1584,31584,FF1B
uniFF1F,1585,31585,FF1F
uniFF3B,1586,31586,FF3B
uniFF3D,1587,31587,FF3D
uniFF5B,1588,31588,FF5B
uniFF5C,1589,31589,FF5C
uniFF5D,1590,31590,FF5D
uniFF5E,1591,31591,FF5E
uniFF61,1592,31592,FF61
uniFF62,1593,31593,FF62
uniFF63,1594,31594,FF63
uniFF64,1595,31595,FF64
uniFF65,1596,31596,FF65
uniFFFC,1597,31597,FFFC
uniFFFD,1598,31598,FFFD
CombAcute,1599,31599,
CombBreve,1600,31600,
CombCaron,1601,31601,
CombCedilla,1602,31602,
CombCircum,1603,31603,
CombDiaer,1604,31604,
CombGrave,1605,31605,
CombOgonek,1606,31606,
CombRingAbv,1607,31607,
CombTilde,1608,31608,
GrCapDelta,1609,31609,
GrCapOmega,1610,31610,
GrCapPi,1611,31611,
HyphenMinus,1612,31612,
LtnCapEsh,1613,31613,
_xtone,9000,9000,
